CO_CURSO,y_true,y_pred,y_proba
1177671,1,0,0.0442912218780156
1336561,0,0,0.3624036427847401
5001183,1,1,0.9920045403657378
1364193,1,1,0.8250086332145073
1202819,0,0,0.24670660813642042
11715,0,0,0.18643162436286503
1279542,0,0,0.00030159857684068544
1204397,0,0,0.0066257384004199385
1117318,0,0,0.004520249143733163
117920,0,0,0.13183571394476648
11299,1,1,0.9977166651396746
84741,1,1,0.8933997387147031
113538,1,1,0.800274698168877
867,1,1,0.9970233415703071
1321287,0,0,0.07307396936191521
83024,0,0,0.03026029896700972
121884,1,1,0.9986099619365062
1173014,1,1,0.9923079253456287
1120962,0,0,0.017716500090107497
1363811,0,0,0.07300743002774521
7515,1,1,0.9983411866519905
1182971,0,0,0.003511660614210951
1190280,1,1,0.9966270055966796
103594,0,1,0.6204503951333982
12906,0,0,0.10304371213790582
122640,1,1,0.999104722310227
21542,1,1,0.999407650987262
71859,1,1,0.9915490124693709
1178741,1,1,0.5716760937637265
104851,1,1,0.8881685071135035
1132763,0,0,0.4213837508593953
21352,1,1,0.9193596194620166
20091,1,1,0.9773522782697597
1109485,1,1,0.8747929563459194
150085,1,1,0.870254332423899
1536332,0,0,0.0501819549302674
1156472,0,0,0.13701213781468702
74042,0,0,0.060285639772890844
1193668,1,1,0.9220088239661445
1405843,0,1,0.6423198659729817
1056704,1,1,0.5274503838194491
64832,0,0,0.4198756626288678
59582,1,1,0.6529201469387764
1349527,0,0,0.1565869366768214
76387,0,0,0.22448976970646248
1523186,0,1,0.6309294418142969
111012,0,0,0.08093593373852932
1299781,1,1,0.7869172919038846
1139841,0,0,0.45457889762359266
1138793,1,1,0.9834889138902594
74317,0,0,0.136187262230788
1413826,0,0,0.016478096747243553
1304539,0,0,0.00452657020798406
1364783,1,1,0.5192281738224549
1263776,1,1,0.6380896525759456
39431,1,1,0.7547236507151385
1189700,1,1,0.8459836064254813
1191051,1,1,0.9833122594141325
98061,0,1,0.5353113710161607
1404643,0,0,0.4001914335546048
18374,1,1,0.999816194040959
1181260,1,1,0.972194995087439
1363961,0,0,0.06865718302470578
74328,0,0,0.4123294183773163
1185396,1,1,0.5475757293114071
1313476,0,0,0.1498654166970188
1127033,0,1,0.5239496322446608
1265455,0,1,0.5628686436727205
103309,1,1,0.9866653084483675
67514,0,0,0.001055831966427891
116410,0,0,0.3236631627349037
18441,1,1,0.8749605638767224
1158260,0,0,0.28373193365804056
1357811,1,1,0.5213652773667917
54387,0,0,0.06687397436547494
1190126,1,1,0.9222984022076409
76566,0,0,0.3377981564029021
1298915,1,1,0.8673468924415201
1172595,0,0,0.05185282677024283
111202,0,0,0.2144301158193967
1109224,0,1,0.6086760563296788
1630,1,1,0.9970229629430795
1382614,0,1,0.8142802890635319
1202546,1,1,0.9897024237207572
1185074,1,1,0.9723596502647743
1069954,1,0,0.37484834855117927
1299453,1,0,0.24443195713295007
92982,0,0,0.0015921713783827016
13428,0,0,0.35956624651380276
1279550,0,0,0.010621022101659718
79866,0,0,0.2909517023150814
1136340,0,0,0.023536064737876318
1146763,1,1,0.8999991862198274
1299430,0,0,0.10375470516202343
1286857,0,0,0.037133451662669376
11330,0,0,0.11749924664666334
1427610,0,1,0.715208956694638
1431839,0,0,0.013356272571031273
1484466,0,0,0.1414318630532473
1523682,0,0,0.1413721963150806
1258919,1,1,0.9930218567558124
1260606,0,0,0.0005750605981616803
1484147,0,0,0.19461972658487225
84751,0,0,0.4206551752183684
763,1,1,0.9992782804894123
5000214,1,1,0.8373957695148414
1258798,0,0,0.39976566681767245
61775,1,1,0.9234843558448745
1327499,0,0,0.1719604267100545
108710,1,1,0.5784580872435656
29418,0,0,0.20783779685113063
1321650,0,0,0.3235500717331111
1458327,0,0,0.2576317333522598
1406042,0,0,0.013212911837554369
117344,1,1,0.7721541245486379
118412,0,0,0.20443430771282847
5001466,1,1,0.9996996892306798
17147,1,1,0.8469568100306506
1387758,1,1,0.804465575520837
14369,1,1,0.9912619837580756
1303378,0,0,0.10367981306995042
65475,1,1,0.7712219368566734
15870,1,1,0.5326209311043896
1368916,0,0,0.011858207700793849
1150247,1,1,0.6419440332464125
1379282,0,0,0.10536892721805802
1265002,0,0,0.25965237670964675
150246,1,0,0.37601101318829633
44281,0,1,0.563161063359731
73755,0,0,0.1695527166488185
1349967,1,1,0.9858299435854949
98964,0,1,0.7737411968438012
1322480,1,1,0.7188963240386315
1178532,0,0,0.004172434948858018
76524,0,1,0.7076664494373623
100956,1,1,0.9976417039423909
1386784,0,0,0.18205139548481886
21851,0,0,0.18156804862070927
94183,1,0,0.32641285754955945
71589,1,1,0.9667955379800788
98116,1,1,0.8784464823760894
63670,1,1,0.8217725906634117
1438425,0,0,0.08708902238863524
19350,0,1,0.6627055982665795
1045,1,1,0.6974297075998767
1178530,0,0,0.002722209862439635
1427348,0,0,0.16554043863055215
80103,0,0,0.49679568344059377
1364190,1,1,0.9998401115972242
22673,1,0,0.36665603393815693
1137715,1,1,0.9906923540144004
1412564,0,0,0.12118195962582153
1321982,1,0,0.17401719304751398
1108111,0,1,0.6486144809207478
14535,1,1,0.7973744230382093
20259,0,0,0.48312630334231144
